,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
35,4210,-76.191896,36.846022,0,0.0,0.0,0.0,0.227341563,3.4113006589999997,775.73,4.97851,7.98963,10.536,156.895,5.274,0.27399999999999997,1.765,1.127,2017-08-11 15:00:0035
36,4352,-76.286798,36.967086,0,0.0,0.0,0.0,0.17555306899999998,2.562745333,620.164,3.8279900000000002,1.2655,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0036
37,4829,-76.256555,36.906347,0,0.0,0.0,0.0,0.27039212,2.886521816,134.25799999999998,19.6809,3.05249,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0037
38,5097,-76.223054,36.884541999999996,0,0.0,0.0,0.0,0.254381925,1.665214896,2542.69,4.01893,10.8874,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0038
39,5219,-76.193111,36.877229,0,0.0,0.0,0.0,0.21336624,2.680423498,977.721,3.8062300000000002,6.02502,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0039
40,5251,-76.285726,36.874886,0,0.0,0.0,0.0,0.235338837,2.631436586,1478.3,7.91483,2.33985,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0040
41,5267,-76.20675899999999,36.874315,0,0.0,0.0,0.0,0.239942983,2.3906993869999997,307.438,3.4720400000000002,3.4365900000000003,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0041
42,5302,-76.2871,36.871846000000005,0,0.0,0.0,0.0,0.234168947,2.601291418,2315.79,9.93094,2.4191700000000003,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0042
43,5328,-76.29193199999999,36.868845,0,0.0,0.0,0.0,0.231068462,2.475432873,4171.66,3.60121,2.77149,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0043
44,5354,-76.299262,36.865871000000006,0,0.0,0.0,0.0,0.22821261,2.2667377,2392.21,6.77923,2.00067,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0044
45,5546,-76.298182,36.854069,0,0.0,0.0,0.0,0.223646283,1.8582482340000002,55.6777,18.0869,-0.9,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0045
46,5549,-76.27386899999999,36.854424,0,0.0,0.0,0.0,0.24156591300000002,2.4401280880000003,1060.58,3.37751,1.73154,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0046
47,5656,-76.191896,36.846022,0,0.0,0.0,0.0,0.19012337899999998,3.414395332,775.73,4.97851,7.98963,8.5,184.52,6.242999999999999,-1.015,0.183,-0.574,2017-08-11 18:00:0047
48,5798,-76.286798,36.967086,0,0.009284816,0.009284816,0.011617506000000001,0.182583839,2.561940432,620.164,3.8279900000000002,1.2655,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0048
49,6275,-76.256555,36.906347,0,0.009529374,0.009529374,0.010951715,0.281121373,2.885407209,134.25799999999998,19.6809,3.05249,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0049
50,6543,-76.223054,36.884541999999996,0,0.0065198999999999995,0.0065198999999999995,0.016565515,0.27067565899999996,1.6552025080000001,2542.69,4.01893,10.8874,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0050
51,6665,-76.193111,36.877229,0,0.007159459,0.007159459,0.016556963,0.22969636300000001,2.6720728869999997,977.721,3.8062300000000002,6.02502,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0051
52,6697,-76.285726,36.874886,0,0.008650322,0.008650322,0.012848661,0.247639909,2.591732025,1478.3,7.91483,2.33985,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0052
53,6713,-76.20675899999999,36.874315,0,0.006522104,0.006522104,0.017330606000000002,0.257051498,2.382770538,307.438,3.4720400000000002,3.4365900000000003,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0053
54,6748,-76.2871,36.871846000000005,0,0.008713355,0.008713355,0.012739557,0.246407866,2.575993776,2315.79,9.93094,2.4191700000000003,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0054
55,6774,-76.29193199999999,36.868845,0,0.008934891,0.008934891,0.012309104,0.242920652,2.4620471,4171.66,3.60121,2.77149,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0055
56,6800,-76.299262,36.865871000000006,0,0.00920483,0.00920483,0.01176047,0.239556253,2.263790369,2392.21,6.77923,2.00067,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0056
57,6992,-76.298182,36.854069,0,0.009241548,0.009241548,0.011716652,0.235079199,1.8724360469999999,55.6777,18.0869,-0.9,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0057
58,6995,-76.27386899999999,36.854424,0,0.008235643,0.008235643,0.013814668,0.255173355,2.452036142,1060.58,3.37751,1.73154,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0058
59,7102,-76.191896,36.846022,0,0.007159906999999999,0.007159906999999999,0.01926128,0.20924332699999998,3.398566723,775.73,4.97851,7.98963,4.541,214.709,4.584,-1.004,0.22,-0.5539999999999999,2017-08-12 06:00:0059
60,7244,-76.286798,36.967086,0,0.34249535200000003,0.234565765,0.18322899899999998,0.37509766200000005,2.585874796,620.164,3.8279900000000002,1.2655,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0060
61,7721,-76.256555,36.906347,1,0.418393165,0.277766705,0.22252363,0.513174355,2.922787905,134.25799999999998,19.6809,3.05249,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0061
62,7989,-76.223054,36.884541999999996,0,0.383854449,0.246401727,0.14494690300000002,0.422142476,1.68849349,2542.69,4.01893,10.8874,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0062
63,8111,-76.193111,36.877229,1,0.348927021,0.24253587399999998,0.125713795,0.3625696,2.690871239,977.721,3.8062300000000002,6.02502,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0063
64,8143,-76.285726,36.874886,1,0.498006016,0.32142752399999996,0.160941243,0.41723147,2.737468958,1478.3,7.91483,2.33985,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0064
65,8159,-76.20675899999999,36.874315,1,0.362445474,0.237233981,0.13055461599999998,0.39412820299999995,2.408148766,307.438,3.4720400000000002,3.4365900000000003,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0065
66,8194,-76.2871,36.871846000000005,0,0.501809716,0.321841031,0.159338295,0.41445952700000005,2.7039527889999997,2315.79,9.93094,2.4191700000000003,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0066
67,8220,-76.29193199999999,36.868845,0,0.518612623,0.33305949,0.159560129,0.411415666,2.569892645,4171.66,3.60121,2.77149,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0067
68,8246,-76.299262,36.865871000000006,0,0.547529519,0.35659843700000005,0.162234932,0.41099602,2.350881338,2392.21,6.77923,2.00067,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0068
69,8438,-76.298182,36.854069,1,0.500116169,0.299692273,0.150028691,0.394349426,1.932386875,55.6777,18.0869,-0.9,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0069
70,8441,-76.27386899999999,36.854424,0,0.45589724200000004,0.268426687,0.14349916599999998,0.40690815399999997,2.529475451,1060.58,3.37751,1.73154,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0070
71,8548,-76.191896,36.846022,0,0.264119506,0.17860487100000003,0.094653741,0.311056972,3.3833117489999998,775.73,4.97851,7.98963,4.787,220.388,4.377,-0.983,0.501,-0.36700000000000005,2017-08-12 09:00:0071
72,8690,-76.286798,36.967086,0,0.288080215,0.15183714,0.509503305,0.7175930140000001,2.743065834,620.164,3.8279900000000002,1.2655,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0072
73,9167,-76.256555,36.906347,0,0.37778505700000004,0.217919797,0.6296914220000001,0.93156749,3.1388590339999998,134.25799999999998,19.6809,3.05249,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0073
74,9435,-76.223054,36.884541999999996,0,0.24624279100000002,0.134129465,0.512377441,0.805996954,2.050985813,2542.69,4.01893,10.8874,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0074
75,9557,-76.193111,36.877229,1,0.207308501,0.113034859,0.45960933,0.7114966509999999,2.8936717510000003,977.721,3.8062300000000002,6.02502,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0075
76,9589,-76.285726,36.874886,0,0.373028994,0.24271380899999997,0.643694997,0.915237486,3.1366634369999997,1478.3,7.91483,2.33985,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0076
77,9605,-76.20675899999999,36.874315,0,0.221560702,0.119012773,0.47660884299999995,0.756573677,2.661736012,307.438,3.4720400000000002,3.4365900000000003,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0077
78,9640,-76.2871,36.871846000000005,1,0.37166172299999994,0.24093335899999999,0.645709395,0.916269243,3.0977835660000004,2315.79,9.93094,2.4191700000000003,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0078
79,9666,-76.29193199999999,36.868845,1,0.38775497700000006,0.25604534100000004,0.662917793,0.930028319,3.0049474239999996,4171.66,3.60121,2.77149,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0079
80,9692,-76.299262,36.865871000000006,1,0.424054086,0.29185223600000004,0.69522047,0.958525538,2.8809762,2392.21,6.77923,2.00067,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0080
81,9884,-76.298182,36.854069,0,0.32945624,0.191936553,0.632887185,0.8944655659999999,2.6960642339999996,55.6777,18.0869,-0.9,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0081
82,9887,-76.27386899999999,36.854424,1,0.274819523,0.143489867,0.5810394879999999,0.862805426,2.918992996,1060.58,3.37751,1.73154,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0082
83,9994,-76.191896,36.846022,0,0.181591928,0.095860802,0.34377858,0.5751764770000001,3.408158541,775.73,4.97851,7.98963,5.794,275.464,4.939,-0.67,1.153,0.21100000000000002,2017-08-12 10:00:0083
84,10136,-76.286798,36.967086,1,0.07077948,0.046944745,0.630575597,1.005673289,2.76661253,620.164,3.8279900000000002,1.2655,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0084
85,10613,-76.256555,36.906347,0,0.041861542,0.03101257,0.796178222,1.309352517,3.213733196,134.25799999999998,19.6809,3.05249,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0085
86,10881,-76.223054,36.884541999999996,0,0.207945451,0.139398813,0.63009727,1.052239776,2.171828032,2542.69,4.01893,10.8874,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0086
87,11003,-76.193111,36.877229,0,0.27900499100000004,0.167327508,0.5562355520000001,0.9188051220000001,2.9510664939999995,977.721,3.8062300000000002,6.02502,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0087
88,11035,-76.285726,36.874886,0,0.132360756,0.09925121099999999,0.87103498,1.28826654,3.2789914610000004,1478.3,7.91483,2.33985,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0088
89,11051,-76.20675899999999,36.874315,0,0.252520502,0.161955386,0.58400619,0.978134394,2.734922647,307.438,3.4720400000000002,3.4365900000000003,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0089
90,11086,-76.2871,36.871846000000005,0,0.136595458,0.10355718400000001,0.873471439,1.287930965,3.196891069,2315.79,9.93094,2.4191700000000003,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0090
91,11112,-76.29193199999999,36.868845,0,0.131683603,0.10147426300000001,0.9063675999999999,1.317783237,3.0180456639999997,4171.66,3.60121,2.77149,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0091
92,11138,-76.299262,36.865871000000006,0,0.11463028900000001,0.089530081,0.971583605,1.382579684,2.756683588,2392.21,6.77923,2.00067,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0092
93,11330,-76.298182,36.854069,0,0.176290438,0.143219918,0.82957238,1.223921895,2.284441233,55.6777,18.0869,-0.9,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0093
94,11333,-76.27386899999999,36.854424,1,0.20116832899999998,0.15628662699999998,0.730716765,1.13762486,2.903913021,1060.58,3.37751,1.73154,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0094
95,11440,-76.191896,36.846022,1,0.384463578,0.236266315,0.44571143399999996,0.756768405,3.446465015,775.73,4.97851,7.98963,8.612,207.05599999999998,4.912,-0.115,1.7409999999999999,0.852,2017-08-12 11:00:0095
96,11582,-76.286798,36.967086,0,0.043652862,0.031878736,0.35885968799999995,1.0764527320000001,2.783162355,620.164,3.8279900000000002,1.2655,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0096
97,12059,-76.256555,36.906347,0,0.019420104,0.010565998,0.419646621,1.35121417,3.212584019,134.25799999999998,19.6809,3.05249,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0097
98,12327,-76.223054,36.884541999999996,0,0.011934391,0.00870904,0.45418822799999997,1.260185122,2.13248229,2542.69,4.01893,10.8874,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0098
99,12449,-76.193111,36.877229,0,0.014225683999999999,0.010694731,0.486313492,1.197810173,2.99974966,977.721,3.8062300000000002,6.02502,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0099
100,12481,-76.285726,36.874886,0,0.011378418000000001,0.008796704,0.50538975,1.4206272359999998,3.3865199089999996,1478.3,7.91483,2.33985,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00100
101,12497,-76.20675899999999,36.874315,0,0.012691302,0.009622438,0.474081188,1.230654836,2.758922577,307.438,3.4720400000000002,3.4365900000000003,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00101
102,12532,-76.2871,36.871846000000005,0,0.010929487,0.008613681,0.50825721,1.4245264530000001,3.286731005,2315.79,9.93094,2.4191700000000003,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00102
103,12558,-76.29193199999999,36.868845,0,0.010114933000000001,0.008125506999999999,0.519438624,1.449466944,3.086963654,4171.66,3.60121,2.77149,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00103
104,12584,-76.299262,36.865871000000006,0,0.008828661,0.007156396999999999,0.538684368,1.4972099069999998,2.803466797,2392.21,6.77923,2.00067,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00104
105,12776,-76.298182,36.854069,0,0.010280754,0.009045595,0.5057466629999999,1.400212288,2.299328566,55.6777,18.0869,-0.9,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00105
106,12779,-76.27386899999999,36.854424,0,0.010274278000000001,0.009035778000000001,0.475987822,1.338793278,2.941106796,1060.58,3.37751,1.73154,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00106
107,12886,-76.191896,36.846022,0,0.02084771,0.015343873999999999,0.566055477,1.141232014,3.583885193,775.73,4.97851,7.98963,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00107
108,13028,-76.286798,36.967086,0,0.0194038,0.019003149,0.044066124000000005,1.120518804,2.77324605,620.164,3.8279900000000002,1.2655,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00108
109,13505,-76.256555,36.906347,0,0.010075652,0.009945903,0.019560578999999998,1.370774746,3.15789032,134.25799999999998,19.6809,3.05249,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00109
110,13773,-76.223054,36.884541999999996,1,0.008101307,0.007345516,0.012807306000000001,1.272992492,1.978608966,2542.69,4.01893,10.8874,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00110
111,13895,-76.193111,36.877229,0,0.014738103,0.012646313999999999,0.016858928000000002,1.214669108,2.9808859830000003,977.721,3.8062300000000002,6.02502,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00111
112,13927,-76.285726,36.874886,0,0.007942234,0.0076671280000000005,0.011578638999999998,1.432205915,3.442539454,1478.3,7.91483,2.33985,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00112
113,13943,-76.20675899999999,36.874315,0,0.01086849,0.009561432,0.014006376000000001,1.244661212,2.7032475469999997,307.438,3.4720400000000002,3.4365900000000003,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00113
114,13978,-76.2871,36.871846000000005,0,0.007559056,0.00729624,0.011115938,1.4356423619999998,3.327665806,2315.79,9.93094,2.4191700000000003,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00114
115,14004,-76.29193199999999,36.868845,0,0.00745699,0.007222760999999999,0.010276148,1.4597430230000001,3.107876301,4171.66,3.60121,2.77149,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00115
116,14030,-76.299262,36.865871000000006,0,0.007840362,0.0076425469999999995,0.008961061,1.506170988,2.803265333,2392.21,6.77923,2.00067,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00116
117,14222,-76.298182,36.854069,0,0.004673821,0.00449108,0.010394549,1.410606861,2.2706706519999997,55.6777,18.0869,-0.9,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00117
118,14225,-76.27386899999999,36.854424,0,0.003623432,0.0034025929999999998,0.010413023,1.349206209,2.930647373,1060.58,3.37751,1.73154,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00118
119,14332,-76.191896,36.846022,0,0.022832492000000003,0.020384688,0.021639212999999997,1.162871242,3.6730048660000003,775.73,4.97851,7.98963,10.915999999999999,176.239,5.468,1.577,2.0540000000000003,1.9080000000000001,2017-08-12 14:00:00119
