,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
58,6995,-76.273869,36.854424,0,0.008235643,0.008235643,0.013814668,0.255173355,2.452036142,1060.58,3.37751,1.73154,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0058
59,7102,-76.191896,36.846022,0,0.007159907,0.007159907,0.01926128,0.209243327,3.398566723,775.73,4.97851,7.98963,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0059
60,7244,-76.286798,36.967086,0,0.342495352,0.234565765,0.183228999,0.375097662,2.585874796,620.164,3.82799,1.2655,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0060
61,7721,-76.256555,36.906347,1,0.418393165,0.277766705,0.22252363,0.513174355,2.922787905,134.258,19.6809,3.05249,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0061
62,7989,-76.223054,36.884542,0,0.383854449,0.246401727,0.144946903,0.422142476,1.68849349,2542.69,4.01893,10.8874,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0062
63,8111,-76.193111,36.877229,1,0.348927021,0.242535874,0.125713795,0.3625696,2.690871239,977.721,3.80623,6.02502,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0063
64,8143,-76.285726,36.874886,1,0.498006016,0.321427524,0.160941243,0.41723147,2.737468958,1478.3,7.91483,2.33985,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0064
65,8159,-76.206759,36.874315,1,0.362445474,0.237233981,0.130554616,0.394128203,2.408148766,307.438,3.47204,3.43659,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0065
66,8194,-76.2871,36.871846,0,0.501809716,0.321841031,0.159338295,0.414459527,2.703952789,2315.79,9.93094,2.41917,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0066
67,8220,-76.291932,36.868845,0,0.518612623,0.33305949,0.159560129,0.411415666,2.569892645,4171.66,3.60121,2.77149,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0067
68,8246,-76.299262,36.865871,0,0.547529519,0.356598437,0.162234932,0.41099602,2.350881338,2392.21,6.77923,2.00067,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0068
69,8438,-76.298182,36.854069,1,0.500116169,0.299692273,0.150028691,0.394349426,1.932386875,55.6777,18.0869,-0.9,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0069
70,8441,-76.273869,36.854424,0,0.455897242,0.268426687,0.143499166,0.406908154,2.529475451,1060.58,3.37751,1.73154,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0070
71,8548,-76.191896,36.846022,0,0.264119506,0.178604871,0.094653741,0.311056972,3.383311749,775.73,4.97851,7.98963,4.787,220.388,4.377,-0.983,0.501,-0.367,2017-08-12 09:00:0071
72,8690,-76.286798,36.967086,0,0.288080215,0.15183714,0.509503305,0.717593014,2.743065834,620.164,3.82799,1.2655,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0072
